origin=(-39, -20) width=534 height=446 cell=.125 cyan=connected orange=disconnected
RIVER APPROACH localX=12 requested=(5.10, 0.09, -18.13) connected=(1.31, 0.09, -13.31) distance=6,130782
COLLIDER Ground/roads/DirtPatch_Campfire (59) bounds=Center: (1.19, 0.02, -5.37), Extents: (1.63, 0.00, 1.79) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (60) bounds=Center: (1.65, 0.02, -5.90), Extents: (1.63, 0.00, 1.79) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (61) bounds=Center: (5.19, 0.02, -4.53), Extents: (1.63, 0.00, 1.79) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (62) bounds=Center: (5.41, 0.02, -3.77), Extents: (1.63, 0.00, 1.79) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (63) bounds=Center: (5.99, 0.02, -3.13), Extents: (1.63, 0.00, 1.79) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (64) bounds=Center: (6.57, 0.02, -2.86), Extents: (1.63, 0.00, 1.79) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (65) bounds=Center: (5.70, 0.02, -7.28), Extents: (1.63, 0.00, 1.79) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (66) bounds=Center: (5.05, 0.02, -7.41), Extents: (1.63, 0.00, 1.79) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (67) bounds=Center: (5.94, 0.02, -8.01), Extents: (1.63, 0.00, 1.79) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (68) bounds=Center: (6.31, 0.02, -8.17), Extents: (1.63, 0.00, 1.79) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (69) bounds=Center: (6.85, 0.02, -8.41), Extents: (1.63, 0.00, 1.79) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (70) bounds=Center: (7.59, 0.02, -8.41), Extents: (1.63, 0.00, 1.79) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (71) bounds=Center: (8.29, 0.02, -7.90), Extents: (1.63, 0.00, 1.79) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (72) bounds=Center: (8.87, 0.02, -7.41), Extents: (1.63, 0.00, 1.79) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (73) bounds=Center: (9.73, 0.02, -6.65), Extents: (1.63, 0.00, 1.79) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (74) bounds=Center: (5.13, 0.02, -9.29), Extents: (1.63, 0.00, 1.79) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (75) bounds=Center: (4.92, 0.02, -8.70), Extents: (1.63, 0.00, 1.79) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (76) bounds=Center: (6.18, 0.02, -8.97), Extents: (1.63, 0.00, 1.79) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (77) bounds=Center: (4.76, 0.02, -4.57), Extents: (1.63, 0.00, 1.79) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (78) bounds=Center: (3.93, 0.02, -3.74), Extents: (1.63, 0.00, 1.79) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (79) bounds=Center: (3.59, 0.02, -3.50), Extents: (1.63, 0.00, 1.79) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (80) bounds=Center: (5.53, 0.02, -3.36), Extents: (1.63, 0.00, 1.79) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (81) bounds=Center: (0.81, 0.02, -5.09), Extents: (3.86, 0.00, 3.58) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (51) bounds=Center: (0.93, 0.02, -3.92), Extents: (1.09, 0.00, 2.19) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (52) bounds=Center: (-0.97, 0.02, -2.86), Extents: (2.11, 0.00, 1.99) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (53) bounds=Center: (-0.01, 0.02, -3.89), Extents: (2.13, 0.00, 2.23) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (55) bounds=Center: (-0.46, 0.02, -4.88), Extents: (2.07, 0.00, 2.20) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (56) bounds=Center: (-0.99, 0.02, -4.08), Extents: (1.26, 0.00, 1.35) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (57) bounds=Center: (2.39, 0.02, -6.94), Extents: (2.07, 0.00, 2.20) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (30) bounds=Center: (0.04, 0.02, 2.18), Extents: (1.47, 0.00, 1.46) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire bounds=Center: (-1.07, 0.02, -0.59), Extents: (2.39, 0.00, 2.39) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (1) bounds=Center: (0.09, 0.02, 0.80), Extents: (2.39, 0.00, 2.39) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (2) bounds=Center: (0.69, 0.02, -0.81), Extents: (2.39, 0.00, 2.39) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (3) bounds=Center: (0.18, 0.02, -2.91), Extents: (2.03, 0.00, 2.03) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (37) bounds=Center: (1.80, 0.02, -1.40), Extents: (0.71, 0.00, 0.66) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (39) bounds=Center: (1.54, 0.02, -1.68), Extents: (0.71, 0.00, 0.66) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (40) bounds=Center: (1.17, 0.02, -2.16), Extents: (0.71, 0.00, 0.66) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (41) bounds=Center: (0.80, 0.02, -2.33), Extents: (0.71, 0.00, 0.66) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (82) bounds=Center: (0.37, 0.02, -2.65), Extents: (0.71, 0.00, 0.66) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (83) bounds=Center: (0.88, 0.02, -2.90), Extents: (0.71, 0.00, 0.66) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (84) bounds=Center: (1.06, 0.02, -2.95), Extents: (0.71, 0.00, 0.66) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (85) bounds=Center: (0.92, 0.02, -3.03), Extents: (0.71, 0.00, 0.66) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (42) bounds=Center: (1.18, 0.02, -2.38), Extents: (0.71, 0.00, 0.66) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (43) bounds=Center: (1.55, 0.02, -1.89), Extents: (0.71, 0.00, 0.66) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (44) bounds=Center: (1.76, 0.02, 0.44), Extents: (0.77, 0.00, 0.74) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (45) bounds=Center: (0.79, 0.02, 1.36), Extents: (0.71, 0.00, 0.66) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (46) bounds=Center: (1.14, 0.02, 1.06), Extents: (0.81, 0.00, 0.80) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (38) bounds=Center: (1.21, 0.02, -1.68), Extents: (1.54, 0.00, 1.54) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (5) bounds=Center: (-1.82, 0.02, 1.41), Extents: (1.98, 0.00, 1.88) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (31) bounds=Center: (-3.37, 0.02, 1.85), Extents: (1.94, 0.00, 1.97) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (6) bounds=Center: (-2.31, 0.02, 1.37), Extents: (2.05, 0.00, 2.04) enabled=True
COLLIDER Ground/roads/DirtPatch_Campfire (7) bounds=Center: (-3.02, 0.02, 2.03), Extents: (1.85, 0.00, 2.10) enabled=True
COLLIDER Ground/Frame/UNS_Bush_LOD0 (2) bounds=Center: (1.35, 0.47, 18.62), Extents: (0.93, 0.64, 0.95) enabled=True
COLLIDER Ground/Frame/UNS_Bush_LOD0 (3) bounds=Center: (0.55, 0.47, 17.67), Extents: (0.93, 0.64, 0.95) enabled=True
COLLIDER Ground/Frame/UNS_Bush_LOD0 (4) bounds=Center: (10.01, 0.47, 15.51), Extents: (0.93, 0.64, 0.95) enabled=True
COLLIDER Ground/Frame/UNS_Bush_LOD0 (7) bounds=Center: (14.98, 0.47, 2.50), Extents: (0.93, 0.64, 0.95) enabled=True
COLLIDER Ground/Frame/UNS_Bush_LOD0 (8) bounds=Center: (14.74, 0.47, 1.10), Extents: (0.93, 0.64, 0.95) enabled=True
COLLIDER Ground/Frame/UNS_Bush_LOD0 (9) bounds=Center: (14.44, 0.47, -0.23), Extents: (0.93, 0.64, 0.95) enabled=True
COLLIDER Ground/Frame/UNS_Bush_LOD0 (10) bounds=Center: (10.31, 0.47, -1.21), Extents: (0.93, 0.64, 0.95) enabled=True
COLLIDER Ground/Frame/UNS_Bush_LOD0 (5) bounds=Center: (7.88, 0.47, 17.30), Extents: (0.93, 0.64, 0.95) enabled=True
COLLIDER Ground/Frame/UNS_Bush_LOD0 (6) bounds=Center: (13.17, 0.47, 13.30), Extents: (0.93, 0.64, 0.95) enabled=True
COLLIDER Ground/Frame/stylized+tree+3d+model (2) bounds=Center: (14.36, 6.56, -11.47), Extents: (8.41, 6.56, 8.31) enabled=True
COLLIDER Ground/Frame/mossy+stone+blocks+3d+model (17) bounds=Center: (8.99, 2.38, -18.21), Extents: (1.71, 0.67, 1.99) enabled=True
COLLIDER Ground/Frame/mossy+stone+blocks+3d+model (18) bounds=Center: (7.36, 1.57, -19.11), Extents: (0.89, 0.48, 1.54) enabled=True
COLLIDER Ground/Frame/mossy+stone+blocks+3d+model (23) bounds=Center: (7.50, 2.21, -20.47), Extents: (1.04, 0.53, 1.07) enabled=True
COLLIDER Ground/Frame/UNS_Bush_LOD0 (3) bounds=Center: (9.32, 0.87, -14.45), Extents: (1.71, 1.16, 1.73) enabled=True
COLLIDER Ground/Frame/UNS_Bush_LOD0 (6) bounds=Center: (7.86, 0.55, -15.34), Extents: (1.09, 0.74, 1.10) enabled=True
COLLIDER Ground/Frame/UNS_Bush_LOD0 (7) bounds=Center: (7.32, 2.44, -19.00), Extents: (1.09, 0.74, 1.10) enabled=True
COLLIDER Ground/Frame/UNS_Bush_LOD0 (4) bounds=Center: (10.53, 0.87, -12.40), Extents: (1.71, 1.16, 1.73) enabled=True
COLLIDER Ground/Frame/UNS_Bush_LOD0 (5) bounds=Center: (12.01, 0.87, -16.02), Extents: (1.71, 1.16, 1.73) enabled=True
COLLIDER Ground/Frame/bush+with+flowers+3d+model (21) bounds=Center: (14.57, 0.65, 2.48), Extents: (1.18, 0.65, 1.53) enabled=True
COLLIDER Ground/Frame/mossy+stone+blocks+3d+model (2) bounds=Center: (-20.46, 0.13, -1.29), Extents: (1.93, 0.98, 1.91) enabled=True
COLLIDER Ground/Frame/mossy+stone+blocks+3d+model (8) bounds=Center: (-21.47, 0.78, -3.59), Extents: (1.48, 0.98, 2.05) enabled=True
COLLIDER Ground/Frame/mossy+stone+blocks+3d+model (9) bounds=Center: (-22.86, 0.73, -0.43), Extents: (0.86, 0.95, 1.80) enabled=True
COLLIDER Ground/Frame/mossy+stone+blocks+3d+model (3) bounds=Center: (-19.48, 0.94, -6.47), Extents: (1.48, 0.98, 2.05) enabled=True
COLLIDER Ground/Frame/mossy+stone+blocks+3d+model (10) bounds=Center: (-24.30, 0.03, 0.97), Extents: (1.48, 0.98, 2.05) enabled=True
COLLIDER Ground/Frame/mossy+stone+blocks+3d+model (24) bounds=Center: (4.32, 0.41, 18.67), Extents: (0.79, 0.42, 0.84) enabled=True
COLLIDER Ground/Frame/mossy+stone+blocks+3d+model (25) bounds=Center: (2.40, 0.41, 18.81), Extents: (0.79, 0.42, 0.84) enabled=True
COLLIDER Ground/Frame/mossy+stone+blocks+3d+model (11) bounds=Center: (-21.68, 0.71, 2.07), Extents: (2.08, 0.92, 1.47) enabled=True
COLLIDER Ground/Frame/mossy+stone+blocks+3d+model (4) bounds=Center: (-19.34, 2.58, -6.39), Extents: (0.71, 0.81, 1.50) enabled=True
COLLIDER Ground/Frame/UNS_Spruce_01_LOD0 (1) bounds=Center: (-16.58, 3.00, -8.75), Extents: (2.71, 4.27, 2.76) enabled=True
COLLIDER Ground/Frame/UNS_Spruce_01 (2) bounds=Center: (-25.29, 6.00, 3.31), Extents: (0.23, 6.25, 0.23) enabled=True
COLLIDER Ground/Frame/UNS_Spruce_01 (2)/UNS_Spruce_01_LOD0 bounds=Center: (-25.51, 6.08, 3.31), Extents: (3.95, 6.23, 4.03) enabled=True
COLLIDER Ground/Frame/UNS_Spruce_01 bounds=Center: (-20.03, 6.00, 14.15), Extents: (0.23, 6.25, 0.23) enabled=True
COLLIDER Ground/Frame/UNS_Spruce_01/UNS_Spruce_01_LOD0 bounds=Center: (-19.06, 6.08, 13.81), Extents: (3.95, 6.23, 4.03) enabled=True
COLLIDER Ground/Frame/UNS_Spruce_01 (1) bounds=Center: (-22.38, 6.00, 9.09), Extents: (0.23, 6.25, 0.23) enabled=True
COLLIDER Ground/Frame/UNS_Spruce_01 (1)/UNS_Spruce_01_LOD0 bounds=Center: (-24.36, 6.08, 10.85), Extents: (3.95, 6.23, 4.03) enabled=True
